#    energy (eV)  cross sec. (b)
7.487650e+01    2.907065e+01
7.489325e+01    3.033501e+01
7.491000e+01    3.175995e+01
7.492675e+01    3.337308e+01
7.494350e+01    3.520715e+01
7.496025e+01    3.730077e+01
7.497281e+01    3.906832e+01
7.498538e+01    4.102909e+01
7.499794e+01    4.320752e+01
7.501050e+01    4.563082e+01
7.502306e+01    4.832912e+01
7.503562e+01    5.133558e+01
7.504819e+01    5.468649e+01
7.506075e+01    5.842133e+01
7.507331e+01    6.258267e+01
7.508587e+01    6.721614e+01
7.509844e+01    7.237016e+01
7.511100e+01    7.809563e+01
7.512406e+01    8.471326e+01
7.513713e+01    9.206752e+01
7.515019e+01    1.002205e+02
7.516326e+01    1.092340e+02
7.517633e+01    1.191684e+02
7.518738e+01    1.283363e+02
7.519743e+01    1.373058e+02
7.520748e+01    1.469029e+02
7.522088e+01    1.607083e+02
7.523428e+01    1.757001e+02
7.524768e+01    1.919026e+02
7.526108e+01    2.093253e+02
7.527448e+01    2.279603e+02
7.528788e+01    2.477805e+02
7.530128e+01    2.687375e+02
7.532138e+01    3.021409e+02
7.534148e+01    3.375900e+02
7.536828e+01    3.872023e+02
7.542456e+01    4.935141e+02
7.545136e+01    5.410328e+02
7.547146e+01    5.735479e+02
7.549156e+01    6.023813e+02
7.551166e+01    6.266965e+02
7.553176e+01    6.457636e+02
7.554918e+01    6.575868e+02
7.556660e+01    6.647512e+02
7.558374e+01    6.670942e+02
7.559873e+01    6.652795e+02
7.561082e+01    6.612116e+02
7.562690e+01    6.522987e+02
7.564298e+01    6.395669e+02
7.566308e+01    6.186953e+02
7.568318e+01    5.929407e+02
7.570328e+01    5.630875e+02
7.572338e+01    5.300022e+02
7.575018e+01    4.824271e+02
7.581182e+01    3.685681e+02
7.583862e+01    3.213380e+02
7.585872e+01    2.880201e+02
7.587882e+01    2.569246e+02
7.589222e+01    2.375548e+02
7.590562e+01    2.193289e+02
7.591902e+01    2.022712e+02
7.593242e+01    1.863875e+02
7.594582e+01    1.716677e+02
7.595922e+01    1.580874e+02
7.597166e+01    1.464717e+02
7.598409e+01    1.357708e+02
7.599653e+01    1.259432e+02
7.600897e+01    1.169434e+02
7.602140e+01    1.087227e+02
7.603476e+01    1.007038e+02
7.604858e+01    9.322626e+01
7.606240e+01    8.651192e+01
7.607622e+01    8.049293e+01
7.609004e+01    7.510400e+01
7.610344e+01    7.042141e+01
7.611600e+01    6.646920e+01
7.612856e+01    6.289874e+01
7.614113e+01    5.967203e+01
7.615369e+01    5.675406e+01
